seqnames	start	end	width	strand	size
unitig_0_Part_Chr	242700	242900	201	*	201
unitig_0_Part_Chr	495000	513850	18851	*	18851
unitig_0_Part_Chr	526500	537050	10551	*	10551
unitig_1_complete	117950	139200	21251	*	21251
unitig_1_complete	5102350	5102800	451	*	451
unitig_2_complete	938900	948200	9301	*	9301
unitig_2_complete	980300	980400	101	*	101
unitig_2_complete	1029800	1031000	1201	*	1201
unitig_2_complete	1053050	1055050	2001	*	2001
unitig_2_complete	1848350	1852450	4101	*	4101
unitig_2_complete	1874800	1879400	4601	*	4601
unitig_2_complete	1918000	1918150	151	*	151
unitig_2_complete	1990050	1990200	151	*	151
unitig_4_complete	425400	425700	301	*	301
unitig_4_complete	959150	959250	101	*	101
unitig_4_complete	1977900	1978000	101	*	101
unitig_3_complete	1443350	1443550	201	*	201
unitig_3_complete	2539400	2539550	151	*	151
unitig_3_complete	2666750	2667000	251	*	251
unitig_3_complete	3100000	3104550	4551	*	4551
unitig_5_complete	1462600	1467200	4601	*	4601
unitig_5_complete	2501250	2501350	101	*	101
unitig_5_complete	2743800	2744000	201	*	201
unitig_5_complete	2886100	2886200	101	*	101
unitig_5_complete	2897100	2897250	151	*	151
unitig_6_complete	1246250	1257450	11201	*	11201
unitig_6_complete	2455000	2455300	301	*	301
unitig_28_Part_Chr	450	19750	19301	*	19301
unitig_28_Part_Chr	2218750	2230150	11401	*	11401
unitig_28_Part_Chr	2504600	2508750	4151	*	4151
unitig_26_Part_Chr	52350	54800	2451	*	2451
unitig_26_Part_Chr	75950	77050	1101	*	1101
unitig_26_Part_Chr	150200	167600	17401	*	17401
unitig_26_Part_Chr	188850	219400	30551	*	30551
unitig_26_Part_Chr	231500	233900	2401	*	2401
unitig_26_Part_Chr	316350	324200	7851	*	7851
unitig_7_Part_Chr	2600	13250	10651	*	10651
unitig_8_Part_Chr	3050	18450	15401	*	15401
unitig_8_Part_Chr	30350	30500	151	*	151
